,Code Commande,Ville Client,Somme des Quantit?s,Timbres Commande,Timbres Client
2690,23617, COULIMER, 9, 6.4, 0
2853,24165, SAINT LANGIS LES MORTAGNE, 9, 4.35, 0
3334,25668, BOITRON, 9, 6.4, 0
3452,25996, LE GENEST SAINT ISLE, 9, 6.4, 0
3915,27431, ATHIS VAL DE ROUVRE, 9, 6.4, 0
4705,29976, ASTILLE, 9, 6.4, 0
4777,30221, SAINT GERMAIN DU CORBEIS, 9, 5.1, 0
5181,31453, NUILLE SUR VICOIN, 9, 6.4, 0
7174,37923, ANDOUILLE, 9, 5.1, 0
8429,42082, MENIL FROGER, 9, 5.5, 0
8502,42326, NORMANDEL, 9, 5.5, 0
8927,43750, ST BOMER LES FORGES, 8, 7, 7
2459,22880, DOMFRONT EN POIRAIE, 8, 6.4, 6.42
3800,27095, SAINT CALAIS DU DESERT, 8, 6.4, 5.13
4259,28550, QUELAINES SAINT GAULT, 8, 6.4, 0
4865,30501, LA HAUTE CHAPELLE, 8, 4.35, 0
6386,35456, DAMIGNY, 8, 5.8, 0
6387,35457, SAINT LANGIS LES MORTAGNE, 8, 5.8, 0
6837,36946, BAZOCHES SUR HOENE, 8, 5.1, 0
6935,37277, LASSAY LES CHATEAUX, 8, 4.35, 0
553,16471, COSSE LE VIVIEN, 7, 6.5, 6
3799,27094, SAINT CALAIS DU DESERT, 7, 6.4, 5.13
8975,43914, LANDIVY, 7, 3.5, 2.55
93,15198, DOMFRONT EN POIRAIE, 7, 4.35, 2.12
818,17439, L'AIGLE, 7, 6.4, 0
1385,19521, HAMBERS, 7, 6.4, 0
1420,19650, BEAULIEU SUR OUDON, 7, 6.4, 0
1659,20416, SAINT AIGNAN DE COUPTRAIN, 7, 6.4, 0
2106,21807, VERNOUILLET, 7, 6.4, 0
3333,25667, ALENCON, 7, 6.4, 0
3407,25859, LA FERTE MACE, 7, 6.4, 0
3558,26325, MONTILLY SUR NOIREAU, 7, 6.4, 0
3691,26765, BEAULIEU SUR OUDON, 7, 6.4, 0
3933,27524, LANDISACQ, 7, 6.4, 0
5397,32107, SARCEAUX, 7, 4.35, 0
6402,35508, MONTGAROULT, 7, 5.8, 0
6792,36842, FLERS, 7, 5.8, 0
8145,41069, ST REMY SUR AVRE, 7, 7, 0
8846,43487, CHANGE, 7, 4.5, 0
469,16235, ARROU, 6 6 6, 6.4, 0
1800,20800, SAINT ELLIER DU MAINE, 6, 6, 7.42
1801,20801, SAINT ELLIER DU MAINE, 6, 6, 7.42
2844,24130, ERNEE, 6, 6, 7.02
3519,26210, LANDIVY, 6, 6, 6.48
3736,26905, SAINT GERMAIN DU CORBEIS, 6, 6, 6.24
1235,18997, SAINT DENIS SUR SARTHON, 6, 6, 5.83
53,15091, ARGENTAN, 6, 5.9, 5.1
375,16011, LA FERTE MACE, 6, 5.8, 1.45
78,15153, LAVAL, 6, 6, 0
351,15930, COURTOMER, 6, 6, 0
352,15931, COURTOMER, 6, 6, 0
353,15932, LA PALLU, 6, 6, 0
354,15933, LA PALLU, 6, 6, 0
387,16047, TINCHEBRAY, 6, 6, 0
388,16048, TINCHEBRAY, 6, 6, 0
622,16734, EVRON, 6, 6, 0
668,16903, MONTIGNE LE BRILLANT, 6, 6, 0
706,17023, LES ASPRES, 6, 6, 0
793,17379, FLERS, 6, 6, 0
821,17454, SAINT AGNAN SUR ERRE, 6, 6, 0
976,17974, BAGNOLES DE L'ORNE, 6, 6, 0
1109,18444, LA CHAPELLE CRAONNAISE, 6, 6, 0
1236,18998, MEHOUDIN, 6, 6, 0
1499,19921, LONLAY L'ABBAYE, 6, 6, 0
1606,20253, SAINT MARTIN DU VIEUX BELLEME, 6, 6, 0
1738,20628, SAINT MARS SUR LA FUTAIE, 6, 6, 0
2245,22315, SAINT CHRISTOPHE DU LUAT, 6, 6, 0
2287,22392, SAINTE OPPORTUNE, 6, 6, 0
2302,22434, COSMES, 6, 6, 0
2376,22647, LA CHAPELLE CRAONNAISE, 6, 6, 0
2378,22649, ATHIS VAL DE ROUVRE, 6, 6, 0
2400,22694, PRE EN PAIL ST SAMSON, 6, 6, 0
2643,23449, ST MICHEL THUBOEUF, 6, 6, 0
2644,23450, ST MICHEL THUBOEUF, 6, 6, 0
2720,23729, BOURGON, 6, 6, 0
2832,24079, LA COULONCHE, 6, 6, 0
2941,24431, SAINT DENIS DE GASTINES, 6, 6, 0
3177,25138, SAINT SAMSON, 6, 6, 0
3242,25363, REMALARD EN PERCHE, 6, 6, 0
3270,25465, LOISAIL, 6, 6, 0
3271,25466, LOISAIL, 6, 6, 0
3284,25502, GANDELAIN, 6, 6, 0
3351,25731, ST SULPICE SUR RISLE, 6, 6, 0
3507,26171, SENTILLY, 6, 6, 0
3508,26172, SENTILLY, 6, 6, 0
3533,26247, SAINTE HONORINE LA CHARDONNE, 6, 6, 0
3621,26552, LANDISACQ, 6, 6, 0
3669,26716, MESSEI, 6, 6, 0
3868,27294, NEUILLY LE VENDIN, 6, 6, 0
3869,27295, NEUILLY LE VENDIN, 6, 6, 0
3979,27685, ROUELLE, 6, 6, 0
4040,27896, FLERS, 6, 6, 0
4046,27913, AMBRIERES LES VALLEES, 6, 6, 0
4084,28048, LONGNY LES VILLAGES, 6, 6, 0
4337,28805, MAYENNE, 6, 6, 0
4364,28896, FLERS, 6, 6, 0
4365,28897, FLERS, 6, 6, 0
4393,28988, SARCEAUX, 6, 6, 0
4426,29110, LES ASPRES, 6, 6, 0
4447,29167, MAYENNE, 6, 6, 0
